Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SNY,Sanofi ADR,$50.43,0.29,0.578%,126601630404.00,France,,3117312,Health Care,Biotechnology: Pharmaceutical Preparations
SOFI,SoFi Technologies Inc. Common Stock  ,$20.09,0.18,0.904%,16295877395.00,United States,,11497269,Finance,Diversified Financial Services
SPLK,Splunk Inc. Common Stock,$164.82,0.32,0.195%,26625979086.00,United States,2012,1229186,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$79.47,3.79,5.008%,20285270134.00,United States,2010,2029080,Technology,EDP Services
STLD,Steel Dynamics Inc.,$66.08,0.59,0.901%,13487845389.00,United States,1996,1914792,Basic Industries,Steel/Iron Ore
STNE,StoneCo Ltd. Class A Common Shares,$33.86,-0.75,-2.167%,10460417204.00,Brazil,2018,2608592,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$89.07,-0.48,-0.536%,20127366567.00,Ireland,2002,2702316,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$167.13,-2.71,-1.596%,27600672318.00,United States,,1598111,Technology,Semiconductors
TCOM,Trip.com Group Limited American Depositary Shares,$28.56,-0.31,-1.074%,18205755127.00,China,,4950734,Miscellaneous,Business Services
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$458.13,40.80,9.776%,115793193129.00,United Kingdom,2015,2861745,Technology,Computer Software: Prepackaged Software
TECH,Bio-Techne Corp Common Stock,$523.65,8.41,1.632%,20547142602.00,United States,,182112,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,$138.24,1.23,0.898%,22805895030.00,United States,,2347040,Capital Goods,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$115.03,-1.01,-0.87%,143553565560.00,United States,,4174676,Public Utilities,Telecommunications Equipment
TRMB,Trimble Inc. Common Stock,$87.37,-0.33,-0.376%,21984029702.00,United States,1990,619380,Capital Goods,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$216.88,1.59,0.739%,49218071836.00,United States,1986,1744298,Finance,Investment Managers
TSCO,Tractor Supply Company Common Stock,$217.17,7.08,3.37%,24830858818.00,United States,1994,1080489,Consumer Services,Other Specialty Stores
TTD,The Trade Desk Inc. Class A Common Stock,$74.91,-0.52,-0.689%,35857602830.00,United States,2016,2331167,Technology,EDP Services
TTWO,Take-Two Interactive Software Inc. Common Stock,$181.00,-0.11,-0.061%,21089817911.00,United States,1997,1075609,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$89.10,1.55,1.77%,20740265776.00,United States,2019,646134,Finance,Investment Bankers/Brokers/Service
TXG,10x Genomics Inc. Class A Common Stock,$161.27,-3.16,-1.922%,17882527485.00,United States,2019,420617,Health Care,Managed Health Care
TXN,Texas Instruments Incorporated Common Stock,$187.48,0.76,0.407%,173142663292.00,United States,,4552184,Technology,Semiconductors
UAL,United Airlines Holdings Inc. Common Stock,$46.14,0.13,0.283%,14940432694.00,United States,,9669967,Transportation,Air Freight/Delivery Services
UHAL,Amerco Common Stock,$736.99,-0.15,-0.02%,14450743678.00,United States,,29757,Miscellaneous,Rental/Leasing Companies
ULTA,Ulta Beauty Inc. Common Stock,$367.36,-3.03,-0.818%,19968795446.00,United States,2007,649415,,
UPST,Upstart Holdings Inc. Common stock,$322.04,-7.96,-2.412%,25044222513.00,United States,2020,2799855,Finance,Finance: Consumer Services
VIAC,ViacomCBS Inc. Class B Common Stock,$36.22,-0.80,-2.161%,23416990946.00,United States,,8439215,Consumer Services,Movies/Entertainment
VIACA,ViacomCBS Inc. Class A Common Stock,$38.93,-0.78,-1.964%,25169062880.00,United States,,43808,Consumer Services,Movies/Entertainment
VOD,Vodafone Group Plc American Depositary Shares,$14.95,-0.28,-1.838%,40995044458.00,United Kingdom,,6932814,Public Utilities,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,$210.27,0.95,0.454%,33927163117.00,United States,2009,624677,Miscellaneous,Business Services
VRSN,VeriSign Inc. Common Stock,$222.67,11.96,5.676%,24911080664.00,United States,1998,866470,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$184.93,2.93,1.61%,47976092902.00,United States,1991,1567851,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$13.35,0.02,0.15%,16144027641.00,United States,,9008472,Consumer Durables,Specialty Chemicals
WB,Weibo Corporation American Depositary Share,$44.98,-0.88,-1.919%,10248596338.00,China,2014,522383,Technology,Internet and Information Services
WBA,Walgreens Boots Alliance Inc. Common Stock,$47.02,-0.08,-0.17%,40701093073.00,United States,,4998032,Health Care,Medical/Nursing Services
WDAY,Workday Inc. Class A Common Stock,$289.98,3.24,1.13%,71915040000.00,United States,,1603839,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$52.29,-4.99,-8.712%,16290545351.00,United States,,18239441,Technology,Electronic Components
WIX,Wix.com Ltd. Ordinary Shares,$185.96,-6.99,-3.623%,10591278718.00,Israel,2013,700463,,
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,$242.28,-6.24,-2.511%,31264233252.00,United Kingdom,,2288405,Finance,Specialty Insurers
WMG,Warner Music Group Corp. Class A Common Stock,$49.49,-0.04,-0.081%,25456954380.00,United States,2020,676004,Consumer Services,Movies/Entertainment
WYNN,Wynn Resorts Limited Common stock,$89.80,-0.98,-1.08%,10387312643.00,United States,2002,2957676,Consumer Services,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$64.59,0.26,0.404%,34777623288.00,United States,,4082944,Public Utilities,Power Generation
